img,filename,cls
D:/Doan/fashion-dataset/images/15970.jpg,15970.jpg,Shirts
D:/Doan/fashion-dataset/images/39386.jpg,39386.jpg,Jeans
D:/Doan/fashion-dataset/images/59263.jpg,59263.jpg,Watches
D:/Doan/fashion-dataset/images/21379.jpg,21379.jpg,Track Pants
D:/Doan/fashion-dataset/images/53759.jpg,53759.jpg,Tshirts
D:/Doan/fashion-dataset/images/1855.jpg,1855.jpg,Tshirts
D:/Doan/fashion-dataset/images/30805.jpg,30805.jpg,Shirts
D:/Doan/fashion-dataset/images/26960.jpg,26960.jpg,Shirts
D:/Doan/fashion-dataset/images/29114.jpg,29114.jpg,Socks
D:/Doan/fashion-dataset/images/30039.jpg,30039.jpg,Watches
D:/Doan/fashion-dataset/images/9204.jpg,9204.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/48123.jpg,48123.jpg,Belts
D:/Doan/fashion-dataset/images/18653.jpg,18653.jpg,Flip Flops
D:/Doan/fashion-dataset/images/47957.jpg,47957.jpg,Handbags
D:/Doan/fashion-dataset/images/46885.jpg,46885.jpg,Flip Flops
D:/Doan/fashion-dataset/images/12369.jpg,12369.jpg,Shirts
D:/Doan/fashion-dataset/images/29928.jpg,29928.jpg,Watches
D:/Doan/fashion-dataset/images/42419.jpg,42419.jpg,Tops
D:/Doan/fashion-dataset/images/51832.jpg,51832.jpg,Bra
D:/Doan/fashion-dataset/images/47359.jpg,47359.jpg,Handbags
D:/Doan/fashion-dataset/images/17429.jpg,17429.jpg,Watches
D:/Doan/fashion-dataset/images/12967.jpg,12967.jpg,Sandals
D:/Doan/fashion-dataset/images/6842.jpg,6842.jpg,Shoe Accessories
D:/Doan/fashion-dataset/images/13089.jpg,13089.jpg,Sweatshirts
D:/Doan/fashion-dataset/images/18461.jpg,18461.jpg,Deodorant
D:/Doan/fashion-dataset/images/9036.jpg,9036.jpg,Formal Shoes
D:/Doan/fashion-dataset/images/48311.jpg,48311.jpg,Bracelet
D:/Doan/fashion-dataset/images/7990.jpg,7990.jpg,Tshirts
D:/Doan/fashion-dataset/images/56019.jpg,56019.jpg,Lipstick
D:/Doan/fashion-dataset/images/21977.jpg,21977.jpg,Handbags
D:/Doan/fashion-dataset/images/37812.jpg,37812.jpg,Shirts
D:/Doan/fashion-dataset/images/4729.jpg,4729.jpg,Tshirts
D:/Doan/fashion-dataset/images/56825.jpg,56825.jpg,Shirts
D:/Doan/fashion-dataset/images/39988.jpg,39988.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/59051.jpg,59051.jpg,Flats
D:/Doan/fashion-dataset/images/20099.jpg,20099.jpg,Kurtas
D:/Doan/fashion-dataset/images/58183.jpg,58183.jpg,Handbags
D:/Doan/fashion-dataset/images/29742.jpg,29742.jpg,Handbags
D:/Doan/fashion-dataset/images/51658.jpg,51658.jpg,Watches
D:/Doan/fashion-dataset/images/3954.jpg,3954.jpg,Tshirts
D:/Doan/fashion-dataset/images/18839.jpg,18839.jpg,Belts
D:/Doan/fashion-dataset/images/2886.jpg,2886.jpg,Flats
D:/Doan/fashion-dataset/images/23278.jpg,23278.jpg,Watches
D:/Doan/fashion-dataset/images/28690.jpg,28690.jpg,Kurtas
D:/Doan/fashion-dataset/images/8580.jpg,8580.jpg,Waistcoat
D:/Doan/fashion-dataset/images/3168.jpg,3168.jpg,Sports Shoes
D:/Doan/fashion-dataset/images/18005.jpg,18005.jpg,Shorts
D:/Doan/fashion-dataset/images/17871.jpg,17871.jpg,Briefs
D:/Doan/fashion-dataset/images/9452.jpg,9452.jpg,Shirts
D:/Doan/fashion-dataset/images/38402.jpg,38402.jpg,Belts
D:/Doan/fashion-dataset/images/44984.jpg,44984.jpg,Watches
D:/Doan/fashion-dataset/images/10268.jpg,10268.jpg,Formal Shoes
D:/Doan/fashion-dataset/images/45856.jpg,45856.jpg,Kurtas
D:/Doan/fashion-dataset/images/32138.jpg,32138.jpg,Briefs
D:/Doan/fashion-dataset/images/59435.jpg,59435.jpg,Formal Shoes
D:/Doan/fashion-dataset/images/5891.jpg,5891.jpg,Tshirts
D:/Doan/fashion-dataset/images/38630.jpg,38630.jpg,Tshirts
D:/Doan/fashion-dataset/images/4943.jpg,4943.jpg,Shirts
D:/Doan/fashion-dataset/images/11188.jpg,11188.jpg,Watches
D:/Doan/fashion-dataset/images/10866.jpg,10866.jpg,Tshirts
D:/Doan/fashion-dataset/images/59607.jpg,59607.jpg,Sarees
D:/Doan/fashion-dataset/images/15528.jpg,15528.jpg,Tshirts
D:/Doan/fashion-dataset/images/45258.jpg,45258.jpg,Watches
D:/Doan/fashion-dataset/images/42841.jpg,42841.jpg,Handbags
D:/Doan/fashion-dataset/images/22198.jpg,22198.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/29570.jpg,29570.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/43993.jpg,43993.jpg,Perfume and Body Mist
D:/Doan/fashion-dataset/images/6628.jpg,6628.jpg,Sports Shoes
D:/Doan/fashion-dataset/images/54924.jpg,54924.jpg,Shorts
D:/Doan/fashion-dataset/images/26538.jpg,26538.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/35913.jpg,35913.jpg,Handbags
D:/Doan/fashion-dataset/images/49495.jpg,49495.jpg,Casual Shoes
D:/Doan/fashion-dataset/images/9660.jpg,9660.jpg,Shirts
D:/Doan/fashion-dataset/images/2288.jpg,2288.jpg,Tshirts
D:/Doan/fashion-dataset/images/23876.jpg,23876.jpg,Sweatshirts
D:/Doan/fashion-dataset/images/18237.jpg,18237.jpg,Tshirts
D:/Doan/fashion-dataset/images/54118.jpg,54118.jpg,Heels
D:/Doan/fashion-dataset/images/2872.jpg,2872.jpg,Heels
D:/Doan/fashion-dataset/images/49653.jpg,49653.jpg,Tops
D:/Doan/fashion-dataset/images/8574.jpg,8574.jpg,Sandals
D:/Doan/fashion-dataset/images/16957.jpg,16957.jpg,Sunglasses
D:/Doan/fashion-dataset/images/19123.jpg,19123.jpg,Flip Flops
D:/Doan/fashion-dataset/images/13419.jpg,13419.jpg,Tshirts
D:/Doan/fashion-dataset/images/17885.jpg,17885.jpg,Innerwear Vests
D:/Doan/fashion-dataset/images/43369.jpg,43369.jpg,Flip Flops
