feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,nan
color,daisy,edge,300,d1,nan
color,daisy,edge,200,d1,nan
color,daisy,edge,100,d1,nan
color,daisy,edge,50,d1,nan
color,daisy,edge,30,d1,nan
color,daisy,edge,10,d1,nan
color,daisy,edge,5,d1,nan
color,daisy,edge,3,d1,nan
color,daisy,edge,1,d1,nan
color,daisy,gabor,None,d1,nan
color,daisy,gabor,300,d1,nan
color,daisy,gabor,200,d1,nan
color,daisy,gabor,100,d1,nan
color,daisy,gabor,50,d1,nan
color,daisy,gabor,30,d1,nan
color,daisy,gabor,10,d1,nan
color,daisy,gabor,5,d1,nan
color,daisy,gabor,3,d1,nan
color,daisy,gabor,1,d1,nan
color,daisy,hog,None,d1,nan
color,daisy,hog,300,d1,nan
color,daisy,hog,200,d1,nan
color,daisy,hog,100,d1,nan
color,daisy,hog,50,d1,nan
color,daisy,hog,30,d1,nan
color,daisy,hog,10,d1,nan
color,daisy,hog,5,d1,nan
color,daisy,hog,3,d1,nan
color,daisy,hog,1,d1,nan
color,daisy,vgg,None,d1,nan
color,daisy,vgg,300,d1,nan
color,daisy,vgg,200,d1,nan
color,daisy,vgg,100,d1,nan
color,daisy,vgg,50,d1,nan
color,daisy,vgg,30,d1,nan
color,daisy,vgg,10,d1,nan
color,daisy,vgg,5,d1,nan
color,daisy,vgg,3,d1,nan
color,daisy,vgg,1,d1,nan
color,daisy,res,None,d1,nan
color,daisy,res,300,d1,nan
color,daisy,res,200,d1,nan
color,daisy,res,100,d1,nan
color,daisy,res,50,d1,nan
color,daisy,res,30,d1,nan
color,daisy,res,10,d1,nan
color,daisy,res,5,d1,nan
color,daisy,res,3,d1,nan
color,daisy,res,1,d1,nan
color,edge,gabor,None,d1,nan
color,edge,gabor,300,d1,nan
color,edge,gabor,200,d1,nan
color,edge,gabor,100,d1,nan
color,edge,gabor,50,d1,nan
color,edge,gabor,30,d1,nan
color,edge,gabor,10,d1,nan
color,edge,gabor,5,d1,nan
color,edge,gabor,3,d1,nan
color,edge,gabor,1,d1,nan
color,edge,hog,None,d1,nan
color,edge,hog,300,d1,nan
color,edge,hog,200,d1,nan
color,edge,hog,100,d1,nan
color,edge,hog,50,d1,nan
color,edge,hog,30,d1,nan
color,edge,hog,10,d1,nan
color,edge,hog,5,d1,nan
color,edge,hog,3,d1,nan
color,edge,hog,1,d1,nan
color,edge,vgg,None,d1,nan
color,edge,vgg,300,d1,nan
color,edge,vgg,200,d1,nan
color,edge,vgg,100,d1,nan
color,edge,vgg,50,d1,nan
color,edge,vgg,30,d1,nan
color,edge,vgg,10,d1,nan
color,edge,vgg,5,d1,nan
color,edge,vgg,3,d1,nan
color,edge,vgg,1,d1,nan
color,edge,res,None,d1,nan
color,edge,res,300,d1,nan
color,edge,res,200,d1,nan
color,edge,res,100,d1,nan
color,edge,res,50,d1,nan
color,edge,res,30,d1,nan
color,edge,res,10,d1,nan
color,edge,res,5,d1,nan
color,edge,res,3,d1,nan
color,edge,res,1,d1,nan
color,gabor,hog,None,d1,nan
color,gabor,hog,300,d1,nan
color,gabor,hog,200,d1,nan
color,gabor,hog,100,d1,nan
color,gabor,hog,50,d1,nan
color,gabor,hog,30,d1,nan
color,gabor,hog,10,d1,nan
color,gabor,hog,5,d1,nan
color,gabor,hog,3,d1,nan
color,gabor,hog,1,d1,nan
color,gabor,vgg,None,d1,nan
color,gabor,vgg,300,d1,nan
color,gabor,vgg,200,d1,nan
color,gabor,vgg,100,d1,nan
color,gabor,vgg,50,d1,nan
color,gabor,vgg,30,d1,nan
color,gabor,vgg,10,d1,nan
color,gabor,vgg,5,d1,nan
color,gabor,vgg,3,d1,nan
color,gabor,vgg,1,d1,nan
color,gabor,res,None,d1,nan
color,gabor,res,300,d1,nan
color,gabor,res,200,d1,nan
color,gabor,res,100,d1,nan
color,gabor,res,50,d1,nan
color,gabor,res,30,d1,nan
color,gabor,res,10,d1,nan
color,gabor,res,5,d1,nan
color,gabor,res,3,d1,nan
color,gabor,res,1,d1,nan
color,hog,vgg,None,d1,nan
color,hog,vgg,300,d1,nan
color,hog,vgg,200,d1,nan
