feat0,feat1,feat2,feat3,feat4,feat5,feat6,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,res,None,d1,nan
color,daisy,edge,gabor,hog,vgg,res,300,d1,nan
color,daisy,edge,gabor,hog,vgg,res,200,d1,nan
color,daisy,edge,gabor,hog,vgg,res,100,d1,nan
color,daisy,edge,gabor,hog,vgg,res,50,d1,nan
color,daisy,edge,gabor,hog,vgg,res,30,d1,nan
color,daisy,edge,gabor,hog,vgg,res,10,d1,nan
color,daisy,edge,gabor,hog,vgg,res,5,d1,nan
color,daisy,edge,gabor,hog,vgg,res,3,d1,nan
color,daisy,edge,gabor,hog,vgg,res,1,d1,nan
