img,cls
D:/Doan/fashion-dataset/images\10000.jpg,images
D:/Doan/fashion-dataset/images\10001.jpg,images
D:/Doan/fashion-dataset/images\10002.jpg,images
D:/Doan/fashion-dataset/images\10003.jpg,images
D:/Doan/fashion-dataset/images\10004.jpg,images
D:/Doan/fashion-dataset/images\10005.jpg,images
D:/Doan/fashion-dataset/images\10006.jpg,images
D:/Doan/fashion-dataset/images\10007.jpg,images
D:/Doan/fashion-dataset/images\10008.jpg,images
D:/Doan/fashion-dataset/images\10009.jpg,images
D:/Doan/fashion-dataset/images\10010.jpg,images
D:/Doan/fashion-dataset/images\10011.jpg,images
D:/Doan/fashion-dataset/images\10012.jpg,images
D:/Doan/fashion-dataset/images\10013.jpg,images
D:/Doan/fashion-dataset/images\10014.jpg,images
D:/Doan/fashion-dataset/images\10015.jpg,images
D:/Doan/fashion-dataset/images\10016.jpg,images
D:/Doan/fashion-dataset/images\10017.jpg,images
D:/Doan/fashion-dataset/images\10018.jpg,images
D:/Doan/fashion-dataset/images\10019.jpg,images
D:/Doan/fashion-dataset/images\10020.jpg,images
D:/Doan/fashion-dataset/images\10021.jpg,images
D:/Doan/fashion-dataset/images\10022.jpg,images
D:/Doan/fashion-dataset/images\10023.jpg,images
D:/Doan/fashion-dataset/images\10024.jpg,images
D:/Doan/fashion-dataset/images\10025.jpg,images
D:/Doan/fashion-dataset/images\10026.jpg,images
D:/Doan/fashion-dataset/images\10027.jpg,images
D:/Doan/fashion-dataset/images\10028.jpg,images
D:/Doan/fashion-dataset/images\10029.jpg,images
D:/Doan/fashion-dataset/images\10030.jpg,images
D:/Doan/fashion-dataset/images\10031.jpg,images
D:/Doan/fashion-dataset/images\10032.jpg,images
D:/Doan/fashion-dataset/images\10033.jpg,images
D:/Doan/fashion-dataset/images\10034.jpg,images
D:/Doan/fashion-dataset/images\10035.jpg,images
D:/Doan/fashion-dataset/images\10037.jpg,images
D:/Doan/fashion-dataset/images\10039.jpg,images
D:/Doan/fashion-dataset/images\10040.jpg,images
D:/Doan/fashion-dataset/images\10041.jpg,images
D:/Doan/fashion-dataset/images\10042.jpg,images
D:/Doan/fashion-dataset/images\10043.jpg,images
D:/Doan/fashion-dataset/images\10044.jpg,images
